_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
21,Education,Colleges and Universities,Niagara,Brock University Building Improvements ,Complete,Oct-18,"Improvements to various building systems, including natural gas cogeneration systems, absorption chillers and water lines.","Upgrades to major building energy, water and cooling systems will increase energy efficiency and reduce utility costs and greenhouse gas emissions.",Niagara,Central,1812 Sir Isaac Brock Way,L2S 3A1,,10377528,,Yes,Yes,Yes,,43.117125,-79.243199
22,Education,Colleges and Universities,North Bay,Canadore College,Complete,Oct-18,Will provide a new an innovative approach to educating the next generation of health professionals. ,"The facility will house the School of Health, Human Care and Wellness in addition to Student Success and Support Services and include new academic teaching space, a learning commons, flexible student activity rooms, collaborative study space, and event and service delivery space.  Upgrades to building systems will improve sustainability and energy efficiency.",Nipissing,Northeast,100 College Drive ,P1B 8K9,,12500000,,Yes,Yes,Yes,,46.343662,-79.492758
23,Education,Colleges and Universities,Oakville,Sheridan College - Partnering Across Boundaries: Bringing Global Leadership to Academic-Municipal Collaboration on District Energy,Complete,Oct-18,Partnering with municipalities (Brampton and Oakville) to generate and share energy,District Energy Centre to be used for developing and testing local energy production,Halton,Central,1430 Trafalgar Rd,L6H 2L1,,21400000,,Yes,Yes,Yes,,43.468486,-79.700134
24,Education,Colleges and Universities,Oshawa,Durham College - Centre for Collaborative Education,Complete,Apr-18,Construction of new building ,"Supporting global/local entrepreneurial approach to teaching and learning through aboriginal, entrepreneuship and student success centres",Durham,Central,2000 Simcoe St N,L1H 7K4,,35000000,,Yes,Yes,,https://www.durhamcollege.ca/centre-for-collaborative-education,43.945572,-78.89464
25,Education,Colleges and Universities,Oshawa,University of Ontario Institute of Technology (UOIT) - Software and Informatics Research Centre,Complete,Dec-18,"New facility for health and business analytics, IT security, networking, gaming, and software engineering","82,000 sq. ft. of new space for teaching, research and registrar (bringing all services into one location)",Durham,Central,2000 Simcoe St N,L1H 7K4,,0,,Yes,Yes,Yes,https://www.uoit.ca/about/campus-buildings/north-oshawa/sirc/index.php,43.948324,-78.896926
26,Education,Colleges and Universities,Ottawa,"Algonquin College - Innovation, Entrepreneurship, Learning Centre and Institute for Indigenous Entrepreneurship",Complete,Apr-18,Renovating library on Woodroffe campus,"Modernized space will include business incubator, makerspace and prototyping facilities, and new Centres of Excellence for Cyber Security and Energy Innovation (collaboration with Siemens Canada)",Ottawa,East,1385 Woodroffe Ave,K2G 1V8,,44900000,,Yes,Yes,Yes,,45.349784,-75.755431
27,Education,Colleges and Universities,Ottawa,Carleton University - Energy Retrofit and Modernization of Facilities,Complete,Jul-18,Retrofits to several aging buildings on campus,Increased cost savings from reduction of energy and water use ,Ottawa,East,1125 Colonel By Dr,K1S 5B6,,20465299,,Yes,Yes,Yes,,45.385577,-75.69572
28,Education,Colleges and Universities,Ottawa,Carleton University - Institute for Advanced Research and Innovation in Smart Environments,Complete,Nov-18,New construction and renovations/expansions to the Life Sciences Research Building,"New infrastructure and 34,500  sq.ft. expansion will support research, innovation, commercialization and experiential training in clean/health/information technologies. ",Ottawa,East,1125 Colonel By Dr,K1S 5B6,,0,,,Yes,Yes,,45.381267,-75.698028
29,Education,Colleges and Universities,Ottawa,La Cite collégiale - Place La Cité - Interdisciplinary Creativity Incubators,Complete,Apr-18,Construction of new incubators,New space for research and development and commercialization,Ottawa,East,801 Aviation Pkwy,K1K 4R3,,29000000,,Yes,Yes,Yes,,45.440482,-75.636813
30,Education,Colleges and Universities,Ottawa,University of Ottawa - Learning Centre,Complete,Jan-18,Construction of new building linked to existing Lamoureux Building,"7-storey facility with 35 classrooms, two 350-seat lecture halls, multi-media rooms, 800 study spaces and 350-seat food court",Ottawa,East,75 Laurier Ave E,K1N 6N5,,0,,Yes,,Yes,,45.423252,-75.68548
31,Education,Colleges and Universities,Ottawa,"University of Ottawa - Science, Technology, Engineering and Mathematics (STEM) complex",Complete,Apr-18,Construction of new building to replace old and energy-inefficient buildings,"Almost 270,000 sq. ft. of new class, lab, workshop, study, office space, plus a lecture theatre ",Ottawa,East,75 Laurier Ave E,K1N 6N5,,115000000,,Yes,Yes,Yes,,45.42325,-75.6827
32,Education,Colleges and Universities,St. Catharines,Brock University - Goodman School of Business,Complete,Dec-18,Expansion and renovation ,"Adding 27,220 sq. ft. and renovating 25,000 sq. ft. of class, seminar and office space",Niagara,Central,1812 Sir Isaac Brock Way,L2S 3A1,,26130766,,Yes,,Yes,,43.119064,-79.248241
33,Education,Colleges and Universities,St. Catharines,Brock University - Marilyn I. Walker School of Fine and Performing Arts (198 St. Paul Street Project),Complete,May-15,Renovation of 19th-century textile factory in downtown St. Catharines,"Includes 235-seat theatre, rehearsal space, art studios etc",Niagara,Central,15 Artists' Common,L2R 4H5,,0,,Yes,,Yes,,43.157705,-79.242822
